"id","registrationDate","productionDate","title","price","mileage","power"
"6109685846","","2014","Mercedes-Benz Actros","146370","708 950 km","480 KM"
"6106972853","","2017","Mercedes-Benz ACTROS 1845 MP4 streamspace","170900","770 452 km","450 KM"
"6107642650","08/07/2016","2016","Mercedes-Benz ACTROS 1848 GIGA SPACE / SALONKA","201999","699 000 km","480 KM"
"6109470682","","2015","Mercedes-Benz ACTROS 1842 / EURO 6 / STANDARD / AUTOMAT /","105500","899 000 km","420 KM"
"6109026119","","2014","Mercedes-Benz Actros 1840 Euro 6 / Hydraulika","139000","463 000 km","400 KM"
"6109680521","20/02/2015","2015","Mercedes-Benz ACTROS 1845 HYDRAULIKA","141450","793 000 km","450 KM"
"6109681250","","2017","Mercedes-Benz Actros","107994","844 033 km","428 KM"
"6109681241","","2014","Mercedes-Benz Actros","101844","871 699 km","449 KM"
"6109681246","","2017","Mercedes-Benz Actros","129519","11 111 km","428 KM"
"6109325122","","2023","Mercedes-Benz Actros F kabina L 1845 LS 4×2","114390","1 km","449 KM"
"6108775540","11/06/2014","2014","Mercedes-Benz ACTROS","95940","910 000 km","430 KM"
"6105123097","08/04/2018","2018","Mercedes-Benz ACTROS 1843 MP4 EURO 6 CIĄGNIK SIODŁOWY","188000","681 625 km","430 KM"
"6108041023","14/09/2016","2016","Mercedes-Benz ACTROS-1845/MP-4!!!","140000","685 000 km","450 KM"
"6109678805","","2023","Mercedes-Benz ACTROS Kabina L 1845 LS 4x2","138867","20 km","450 KM"
"6109677526","","2017","Mercedes-Benz Actros 1843","133086","625 359 km","428 KM"
"6101697342","30/10/2017","2017","Mercedes-Benz Actros","62730","543 053 km","450 KM"
"6109321795","08/03/2017","2016","Mercedes-Benz ACTROS 1845","135000","897 674 km","450 KM"
"6103676671","","2016","Mercedes-Benz Actros 1842 Retarder Standard Sypialnia","142680","680 000 km","420 KM"
"6108973962","","2015","Mercedes-Benz Actros","130000","660 000 km",""
"6108834255","","2015","Mercedes-Benz ACTROS 1845 E6 MP4 2016_AUTOMAT_STANDARD_ZADBANY","119000","1 190 000 km","450 KM"
"6108833581","","2015","Mercedes-Benz ACTROS 1845 E6 MP4 2016_AUTOMAT_STANDARD_ZADBANY","119000","924 000 km","450 KM"
"6108833053","","2015","Mercedes-Benz ACTROS 1845 E6 MP4 2016_AUTOMAT_STANDARD_ZADBANY","119000","934 000 km","450 KM"
"6108832440","","2015","Mercedes-Benz ACTROS 1845 E6 MP4 2015_AUTOMAT_STANDARD_ZADBANY","109000","1 185 000 km","450 KM"
"6107202722","","2016","Mercedes-Benz Actros","27060","1 005 000 km","420 KM"
"6109014409","","2019","Mercedes-Benz Actros 1845","375150","500 000 km","450 KM"
"6109673402","15/03/2016","2016","Mercedes-Benz ACTROS 1845 LS / STANDARD","169000","671 306 km","450 KM"
"6109014222","","2017","Mercedes-Benz Actros 1842","258300","600 000 km","420 KM"
"6104974531","","2015","Mercedes-Benz ACTROS 1845 / Bez Retardera / Standard/","170970","724 000 km","450 KM"
"6109013543","","2016","Mercedes-Benz ACTROS 1845 / EURO 6 / LOW DECK / ACC /","139500","810 000 km","450 KM"
"6109466981","","2015","Mercedes-Benz ACTROS MP4 1842 / EURO 6 / LOW DECK / POJEMNOŚĆ 12809 cm3  /","116000","799 000 km",""
"6108830509","","2015","Mercedes-Benz ACTROS 1845 E6 MP4 2015_AUTOMAT_STANDARD_ZADBANY","109000","1 103 000 km","450 KM"
"6104987303","08/01/2016","2015","Mercedes-Benz Actros","147600","746 482 km","510 KM"
"6109670856","","2019","Mercedes-Benz ACTROS / 2019 / 450KM / STANDARD / USZKODZONY","165000","377 493 km","450 KM"
"6106641993","","2017","Mercedes-Benz Actros 1845LSnRL Mega Liner","52767","672 115 km","450 KM"
"6107020318","30/10/2017","2017","Mercedes-Benz 1845 Actros Euro 6 12809ccm - 449KM 18t 11-19 LS 4x2 BigSpace 963.403","185616","672 782 km","449 KM"
"6109466154","","2022","Mercedes-Benz ACTROS  / 1848 / 2022 / EURO 6 / USZKODZONY","75000","49 269 km","480 KM"
"6108439938","03/08/2018","2018","Mercedes-Benz ACTROS 1851 / BIG SPACE / RETARDER / HYDRAULIKA DO WYWROTU / Z NIEMIEC / EURO 6  /","299000","440 000 km","510 KM"
"6108382565","13/12/2017","2016","Mercedes-Benz ACTROS 1848 / HYDRAULIKA / EURO 6 /","179000","530 000 km","480 KM"
"6108381889","02/05/2016","2016","Mercedes-Benz 1848 / GIGA SPACE / I-PARK COOL / FLEETBOARD / EURO 6 /","229000","593 000 km","480 KM"
"6108382273","10/03/2016","2016","Mercedes-Benz ACTROS 1848 / HYDRAULIKA / EURO 6 /","149900","552 000 km","480 KM"
"6109666894","21/06/2017","2017","Mercedes-Benz","45500","600 000 km","450 KM"
"6109666814","03/04/2018","2018","Mercedes-Benz","51500","519 000 km","450 KM"
"6109666755","26/10/2018","2018","Mercedes-Benz","55900","560 000 km","480 KM"
"6109664701","30/07/2017","2017","Mercedes-Benz ACTROS 1842 / RETARDER / EURO 6 / STANDARD","38900","459 862 km","420 KM"
"6106503976","16/05/2017","2017","Mercedes-Benz ACTROS 1843 ADR * 741 000 KM * 2017","28900","741 000 km","430 KM"
"6105303402","","2019","Mercedes-Benz Actros 1848","100860","317 000 km","480 KM"
"6106140799","","2021","Mercedes-Benz Actros 1851","109470","124 956 km","510 KM"
"6109227733","","2022","Mercedes-Benz Actros 5 - kabina L 1845 LS 4x2","121770","63 232 km","448 KM"
"6109646766","","2021","Mercedes-Benz ACTROS / 2021 / 450KM / STANDARD / USZKODZONY","195000","271 245 km","450 KM"
"6106880597","26/06/2017","2017","Mercedes-Benz ACTROS 1848","189420","693 350 km","477 KM"
"6108796331","","2018","Mercedes-Benz 1845","246000","700 000 km","450 KM"
"6109645484","","2017","Mercedes-Benz Actros","210330","700 000 km","449 KM"
"6108530335","14/02/2017","2017","Mercedes-Benz","41697","677 192 km","450 KM"
"6109395701","","2018","Mercedes-Benz / ACTROS / 1845 / EURO 6 / ACC / STREAM SPACE","285360","570 000 km","450 KM"
"6109394507","","2018","Mercedes-Benz / ACTROS / 1848 / EURO 6 / ACC / GIGA SPACE / RETARDER","341940","490 000 km","480 KM"
"6108794794","","2019","Mercedes-Benz Actros 1845 LS","78720","390 000 km","450 KM"
"6108794636","10/03/2015","2015","Mercedes-Benz Actros 1845 lowdeck","27900","668 000 km","450 KM"
"6106815710","","2016","Mercedes-Benz ACTROS 1845","183270","750 000 km","450 KM"
"6107501134","","2016","Mercedes-Benz Mercedes Actros 1848","211560","620 000 km","480 KM"
"6107627103","08/08/2016","2016","Mercedes-Benz MP4","152900","720 000 km","450 KM"
"6108195141","21/03/2014","2014","Mercedes-Benz Actros","132000","885 500 km","1 845 KM"
"6109431780","","2016","Mercedes-Benz 1843","102000","899 000 km","430 KM"
"6109431177","","2021","Mercedes-Benz MERCEDES / ACTROS / 1848 / EURO 6 / ACC / MP 5 / GIGA SPACE","111930","240 000 km","480 KM"
"6108944581","07/07/2015","2015","Mercedes-Benz Actros 1848","165000","700 000 km","480 KM"
"6109636797","","2018","Mercedes-Benz Actros 2553 6x2 Comfort Big Space Act","49900","529 100 km","530 KM"
"6109429174","24/08/2018","2017","Mercedes-Benz ACTROS 1848 LS","245000","515 000 km","480 KM"
"6107379620","","2019","Mercedes-Benz ACTROS MP5","84870","233 000 km","480 KM"
"6109427713","12/11/2019","2019","Mercedes-Benz Actros mp4 1848 2019 Standard","375150","298 000 km","480 KM"
"6108941027","20/05/2019","2019","Mercedes-Benz","69990","340 000 km","450 KM"
"6096774800","17/02/2017","2017","Mercedes-Benz Actros 1853 / 2017 / BigSpace / Retarder / NAVI / Euro6 / Stan Idealny","307008","687 000 km","530 KM"
"6109633347","23/07/2014","2014","Mercedes-Benz ACTROS","105000","740 000 km","430 KM"
"6098277210","17/08/2019","2019","Mercedes-Benz AROCS ACTROS 1845 HYDRAULIKA NISKA KABINA ALU FELGISUPER TRĄBY","78720","189 900 km","450 KM"
"6107064641","06/06/2019","2019","Mercedes-Benz Actros 1845 LS 4x2 BigSpace","73800","601 232 km","450 KM"
"6108776552","04/03/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace MCT  CPS","105657","260 307 km","450 KM"
"6108776551","04/03/2021","2021","Mercedes-Benz Actros 1845 LS 4x2 BigSpace, MCT","104427","302 263 km","450 KM"
"6108776169","30/04/2015","2015","Mercedes-Benz ACTROS 1845 LOW DECK / MEGA / AUTOMAT / EURO 6 / 2015 ROK !!","104000","1 041 348 km","450 KM"
"6108270925","","2020","Mercedes-Benz Actros 1846 HAD","116727","101 000 km",""
"6109215418","","2015","Mercedes-Benz Actros 4163","658050","380 000 km","630 KM"
"6109212601","","2018","Mercedes-Benz Actros Bez retardera","252000","470 000 km","450 KM"
